Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 1","warmup","Weekdays routine","","Talk about a normal weekday from morning to night.",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 1","warmup","Weekdays routine","","(What time you wake up, work/study, rest)",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 2","ice_breaker","Weekend routine","","Compare what you do on weekends vs weekdays.",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 3","discussion","Busy vs free days","","Describe a busy day and a free day.",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 3","discussion","Busy vs free days","","Say which one you prefer and why (simple reasons).",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 4","follow_up","Study/work balance","","Explain how you balance work/study and rest.",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 5","practice","Changes in my week","","Talk about changes in your routine recently.",""
"English","ENG 31-60.docx","LEVEL 31 | MY TYPICAL WEEK","SUBLEVEL 6","wrapup","Weekly summary story","","Tell the story of one full week in your life.",""
"English","ENG 31-60.docx","LEVEL 32 | TIME MANAGEMENT","SUBLEVEL 1","warmup","Morning time","","Describe your morning routine and how you use time.",""
"English","ENG 31-60.docx","LEVEL 32 | TIME MANAGEMENT","SUBLEVEL 2","ice_breaker","Busy hours","","Talk about the busiest time of your day.",""
"English","ENG 31-60.docx","LEVEL 32 | TIME MANAGEMENT","SUBLEVEL 3","discussion","Being late / early","","Share experiences of being late or early.",""
"English","ENG 31-60.docx","LEVEL 32 | TIME MANAGEMENT","SUBLEVEL 4","follow_up","Planning the day","","Explain how you plan your day (or don’t).",""
"English","ENG 31-60.docx","LEVEL 32 | TIME MANAGEMENT","SUBLEVEL 5","practice","Time problems","","Talk about problems with time (too busy, tired).",""
"English","ENG 31-60.docx","LEVEL 32 | TIME MANAGEMENT","SUBLEVEL 6","wrapup","Better time habits","","Explain one habit you want to improve.",""
"English","ENG 31-60.docx","LEVEL 33 | FOOD, HABITS & LIFESTYLE","SUBLEVEL 1","warmup","Daily meals","","Describe what you eat in a normal day.",""
"English","ENG 31-60.docx","LEVEL 33 | FOOD, HABITS & LIFESTYLE","SUBLEVEL 2","ice_breaker","Eating habits","","Talk about eating times, snacks, drinks.",""
"English","ENG 31-60.docx","LEVEL 33 | FOOD, HABITS & LIFESTYLE","SUBLEVEL 3","discussion","Cooking vs eating out","","Compare eating at home and eating outside.",""
"English","ENG 31-60.docx","LEVEL 33 | FOOD, HABITS & LIFESTYLE","SUBLEVEL 4","follow_up","Healthy vs unhealthy","","Give examples of healthy and unhealthy habits.",""
"English","ENG 31-60.docx","LEVEL 33 | FOOD, HABITS & LIFESTYLE","SUBLEVEL 5","practice","Food changes","","Talk about changes in your eating habits.",""
"English","ENG 31-60.docx","LEVEL 33 | FOOD, HABITS & LIFESTYLE","SUBLEVEL 6","wrapup","Lifestyle reflection","","Explain how food affects your daily life.",""
"English","ENG 31-60.docx","LEVEL 34 | PLACES I OFTEN GO","SUBLEVEL 1","warmup","Work/study places","","Describe places where you work or study.",""
"English","ENG 31-60.docx","LEVEL 34 | PLACES I OFTEN GO","SUBLEVEL 2","ice_breaker","Food & coffee places","","Talk about cafes or restaurants you like.",""
"English","ENG 31-60.docx","LEVEL 34 | PLACES I OFTEN GO","SUBLEVEL 3","discussion","Shopping places","","Describe where you usually shop.",""
"English","ENG 31-60.docx","LEVEL 34 | PLACES I OFTEN GO","SUBLEVEL 4","follow_up","Relaxing places","","Talk about places where you relax.",""
"English","ENG 31-60.docx","LEVEL 34 | PLACES I OFTEN GO","SUBLEVEL 5","practice","Why I like them","","Explain why you like these places.",""
"English","ENG 31-60.docx","LEVEL 34 | PLACES I OFTEN GO","SUBLEVEL 6","wrapup","My daily map","","Describe your daily movement between places.",""
"English","ENG 31-60.docx","LEVEL 35 | PEOPLE IN MY DAILY LIFE","SUBLEVEL 1","warmup","People at work/school","","Talk about people you meet every day.",""
"English","ENG 31-60.docx","LEVEL 35 | PEOPLE IN MY DAILY LIFE","SUBLEVEL 2","ice_breaker","Friends & classmates","","Describe your friends or classmates.",""
"English","ENG 31-60.docx","LEVEL 35 | PEOPLE IN MY DAILY LIFE","SUBLEVEL 3","discussion","Family contact","","Explain how often you talk to family.",""
"English","ENG 31-60.docx","LEVEL 35 | PEOPLE IN MY DAILY LIFE","SUBLEVEL 4","follow_up","Neighbors","","Talk about your neighbors or people nearby.",""
"English","ENG 31-60.docx","LEVEL 35 | PEOPLE IN MY DAILY LIFE","SUBLEVEL 5","practice","Communication style","","Describe how you communicate with people.",""
"English","ENG 31-60.docx","LEVEL 35 | PEOPLE IN MY DAILY LIFE","SUBLEVEL 6","wrapup","People summary","","Summarize who is important in your daily life.",""
"English","ENG 31-60.docx","LEVEL 36 | PAST EXPERIENCES","SUBLEVEL 1","warmup","Good experience","","Tell a positive experience from the past.",""
"English","ENG 31-60.docx","LEVEL 36 | PAST EXPERIENCES","SUBLEVEL 2","ice_breaker","Bad experience","","Describe a difficult or unpleasant experience.",""
"English","ENG 31-60.docx","LEVEL 36 | PAST EXPERIENCES","SUBLEVEL 3","discussion","First-time experience","","Talk about doing something for the first time.",""
"English","ENG 31-60.docx","LEVEL 36 | PAST EXPERIENCES","SUBLEVEL 4","follow_up","What I learned","","Explain what you learned from that experience.",""
"English","ENG 31-60.docx","LEVEL 36 | PAST EXPERIENCES","SUBLEVEL 5","practice","Feelings then & now","","Compare how you felt then and now.",""
"English","ENG 31-60.docx","LEVEL 36 | PAST EXPERIENCES","SUBLEVEL 6","wrapup","Experience story","","Tell the full story clearly.",""
"English","ENG 31-60.docx","LEVEL 37 | TRAVEL & TRANSPORTATION","SUBLEVEL 1","warmup","Daily commuting","","Describe how you travel daily.",""
"English","ENG 31-60.docx","LEVEL 37 | TRAVEL & TRANSPORTATION","SUBLEVEL 2","ice_breaker","Transport problems","","Talk about problems with transport.",""
"English","ENG 31-60.docx","LEVEL 37 | TRAVEL & TRANSPORTATION","SUBLEVEL 3","discussion","Travel preferences","","Explain how you prefer to travel and why.",""
"English","ENG 31-60.docx","LEVEL 37 | TRAVEL & TRANSPORTATION","SUBLEVEL 4","follow_up","Past trip","","Describe a trip you took before.",""
"English","ENG 31-60.docx","LEVEL 37 | TRAVEL & TRANSPORTATION","SUBLEVEL 5","practice","Travel plans","","Talk about a trip you want to take.",""
"English","ENG 31-60.docx","LEVEL 37 | TRAVEL & TRANSPORTATION","SUBLEVEL 6","wrapup","Travel story","","Tell a complete travel story.",""
"English","ENG 31-60.docx","LEVEL 38 | STUDYING & LEARNING","SUBLEVEL 1","warmup","Subjects I study","","Describe what you study or learned before.",""
"English","ENG 31-60.docx","LEVEL 38 | STUDYING & LEARNING","SUBLEVEL 2","ice_breaker","Learning methods","","Explain how you usually study.",""
"English","ENG 31-60.docx","LEVEL 38 | STUDYING & LEARNING","SUBLEVEL 3","discussion","Learning difficulties","","Talk about difficulties in learning.",""
"English","ENG 31-60.docx","LEVEL 38 | STUDYING & LEARNING","SUBLEVEL 4","follow_up","Studying with others","","Compare studying alone vs with others.",""
"English","ENG 31-60.docx","LEVEL 38 | STUDYING & LEARNING","SUBLEVEL 5","practice","Improving learning","","Explain how you want to improve.",""
"English","ENG 31-60.docx","LEVEL 38 | STUDYING & LEARNING","SUBLEVEL 6","wrapup","Learning reflection","","Reflect on your learning journey.",""
"English","ENG 31-60.docx","LEVEL 39 | WORK TASKS & RESPONSIBILITIES","SUBLEVEL 1","warmup","My main tasks","","Describe your main daily tasks.",""
"English","ENG 31-60.docx","LEVEL 39 | WORK TASKS & RESPONSIBILITIES","SUBLEVEL 2","ice_breaker","Daily responsibilities","","Talk about responsibilities at work/study.",""
"English","ENG 31-60.docx","LEVEL 39 | WORK TASKS & RESPONSIBILITIES","SUBLEVEL 3","discussion","Easy tasks","","Explain tasks you find easy.",""
"English","ENG 31-60.docx","LEVEL 39 | WORK TASKS & RESPONSIBILITIES","SUBLEVEL 4","follow_up","Difficult tasks","","Describe tasks you find difficult.",""
"English","ENG 31-60.docx","LEVEL 39 | WORK TASKS & RESPONSIBILITIES","SUBLEVEL 5","practice","Working with others","","Talk about teamwork experiences.",""
"English","ENG 31-60.docx","LEVEL 39 | WORK TASKS & RESPONSIBILITIES","SUBLEVEL 6","wrapup","Workday summary","","Describe one full work/study day.",""
"English","ENG 31-60.docx","LEVEL 40 | COMMUNICATION PROBLEMS","SUBLEVEL 1","warmup","Language problems","","Talk about problems speaking or understanding.",""
"English","ENG 31-60.docx","LEVEL 40 | COMMUNICATION PROBLEMS","SUBLEVEL 2","ice_breaker","Misunderstandings","","Describe a misunderstanding.",""
"English","ENG 31-60.docx","LEVEL 40 | COMMUNICATION PROBLEMS","SUBLEVEL 3","discussion","Asking for repetition","","Practice asking people to repeat or explain.",""
"English","ENG 31-60.docx","LEVEL 40 | COMMUNICATION PROBLEMS","SUBLEVEL 4","follow_up","Clarifying meaning","","Explain how you clarify information.",""
"English","ENG 31-60.docx","LEVEL 40 | COMMUNICATION PROBLEMS","SUBLEVEL 5","practice","Solving communication issues","","Talk about solutions.",""
"English","ENG 31-60.docx","LEVEL 40 | COMMUNICATION PROBLEMS","SUBLEVEL 6","wrapup","Communication story","","Tell a communication problem story.",""
"English","ENG 31-60.docx","LEVEL 41 | LIKES, DISLIKES & REASONS","SUBLEVEL 1","warmup","Things I like in daily life","","Talk about activities, food, places, or habits you like.",""
"English","ENG 31-60.docx","LEVEL 41 | LIKES, DISLIKES & REASONS","SUBLEVEL 2","ice_breaker","Things I dislike","","Describe things you don’t enjoy in daily life.",""
"English","ENG 31-60.docx","LEVEL 41 | LIKES, DISLIKES & REASONS","SUBLEVEL 3","discussion","Giving reasons","","Explain why you like or dislike something (because, so).",""
"English","ENG 31-60.docx","LEVEL 41 | LIKES, DISLIKES & REASONS","SUBLEVEL 4","follow_up","Changing preferences","","Talk about something you liked before but not now (or vice versa).",""
"English","ENG 31-60.docx","LEVEL 41 | LIKES, DISLIKES & REASONS","SUBLEVEL 5","practice","Comparing preferences","","Compare two things you like or dislike (A vs B).",""
"English","ENG 31-60.docx","LEVEL 41 | LIKES, DISLIKES & REASONS","SUBLEVEL 6","wrapup","Personal taste summary","","Summarize what your likes say about you.",""
"English","ENG 31-60.docx","LEVEL 42 | MAKING CHOICES","SUBLEVEL 1","warmup","Daily small choices","","Talk about choices you make every day (food, clothes, time).",""
