Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 31 | 我的学习计划","SUBLEVEL 1","warmup","你现在有什么学习计划？","nǐ xiànzài yǒu shénme xuéxí jìhuà?","我现在的计划是每天学习两个小时中文，也复习以前学过的课。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 31 | 我的学习计划","SUBLEVEL 1","warmup","你现在有什么学习计划？","nǐ xiànzài yǒu shénme xuéxí jìhuà?","我这个学期想把中文学好，所以每天都会听录音和练习说话。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 31 | 我的学习计划","SUBLEVEL 2","discussion","你一般怎么学习？","nǐ yībān zěnme xuéxí?","我一般在家看书，也用手机学新单词。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 31 | 我的学习计划","SUBLEVEL 2","discussion","你一般怎么学习？","nǐ yībān zěnme xuéxí?","我喜欢跟同学一起学习，这样可以互相帮助。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 31 | 我的学习计划","SUBLEVEL 3","follow_up","你觉得学习难吗？为什么？","nǐ juéde xuéxí nán ma? wèishénme?","有一点难，因为有很多新单词。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 32 | 我的周末","SUBLEVEL 1","warmup","你的周末一般怎么过？","nǐ de zhōumò yībān zěnme guò?","我的周末比较轻松，我会在家休息或者看电影。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 32 | 我的周末","SUBLEVEL 1","warmup","你的周末一般怎么过？","nǐ de zhōumò yībān zěnme guò?","周末我喜欢和朋友一起出去，比如去喝咖啡。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 32 | 我的周末","SUBLEVEL 2","discussion","你周末常和谁一起？","nǐ zhōumò cháng hé shéi yìqǐ?","我常和朋友一起，有时候也和家人一起。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 32 | 我的周末","SUBLEVEL 2","discussion","你周末常和谁一起？","nǐ zhōumò cháng hé shéi yìqǐ?","我一般一个人，因为我喜欢安静。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 32 | 我的周末","SUBLEVEL 3","follow_up","你觉得周末重要吗？为什么？","nǐ juéde zhōumò zhòngyào ma? wèishénme?","很重要，因为可以休息。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 33 | 我的旅行经历","SUBLEVEL 1","warmup","你去过哪些地方？","nǐ qùguo nǎxiē dìfang?","我去过岘港和河内，这些地方很漂亮。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 33 | 我的旅行经历","SUBLEVEL 1","warmup","你去过哪些地方？","nǐ qùguo nǎxiē dìfang?","我去过中国，去了北京。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 33 | 我的旅行经历","SUBLEVEL 2","discussion","你在那儿做了什么？","nǐ zài nàr zuò le shénme?","我看了很多地方，也吃了很多好吃的。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 33 | 我的旅行经历","SUBLEVEL 2","discussion","你在那儿做了什么？","nǐ zài nàr zuò le shénme?","我拍了照片，还买了一些东西。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 33 | 我的旅行经历","SUBLEVEL 3","follow_up","你喜欢旅行吗？为什么？","nǐ xǐhuān lǚxíng ma? wèishénme?","我很喜欢，因为可以放松。",""
"Chinese","Chinese_level_31-100_LucyLMS_Ready.docx","LEVEL 34 | 学习中文的困难","SUBLEVEL 1","warmup","你觉得学习中文难在哪里？","nǐ juéde xuéxí zhōngwén nán zài nǎlǐ?","我觉得记单词很难，因为很容易忘记。",""
