Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 1","warmup","My name","","My full name",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 1","warmup","My name","","My nickname",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 1","warmup","My name","","How people call me",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 2","ice_breaker","Where I’m from","","Country",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 2","ice_breaker","Where I’m from","","City",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 2","ice_breaker","Where I’m from","","One simple fact",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 3","discussion","Me now","","Student / worker",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 3","discussion","Me now","","Simple sentence: “I am…”",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 4","follow_up","One thing about me","","I like…",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 4","follow_up","One thing about me","","I don’t like…",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 5","practice","Repeat & swap","","Ask and answer with partners",""
"English","ENG 1 -30.docx","LEVEL 1 | SAYING WHO I AM","SUBLEVEL 6","wrapup","Mini story","","“My name is… I’m from… I am…”",""
