Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 61 | 学習と生活の管理","SUBLEVEL 1","warmup","現在のスケジュール","","現在のスケジュールについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 61 | 学習と生活の管理","SUBLEVEL 2","ice_breaker","時間管理方法","","時間管理方法についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 61 | 学習と生活の管理","SUBLEVEL 3","discussion","忙しい時期 vs 余裕のある時期","","忙しい時期 vs 余裕のある時期についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 61 | 学習と生活の管理","SUBLEVEL 4","follow_up","時間に関する問題","","時間に関する問題についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 61 | 学習と生活の管理","SUBLEVEL 5","practice","バランス改善","","バランス改善についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 61 | 学習と生活の管理","SUBLEVEL 6","wrapup","週間ストーリー","","週間ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 62 | 学習経験","SUBLEVEL 1","warmup","良い学習経験","","良い学習経験についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 62 | 学習経験","SUBLEVEL 2","ice_breaker","難しい科目","","難しい科目についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 62 | 学習経験","SUBLEVEL 3","discussion","学習スタイル比較","","学習スタイル比較についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 62 | 学習経験","SUBLEVEL 4","follow_up","学習課題","","学習課題についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 62 | 学習経験","SUBLEVEL 5","practice","克服方法","","克服方法についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 62 | 学習経験","SUBLEVEL 6","wrapup","学習ストーリー","","学習ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 63 | 人間関係","SUBLEVEL 1","warmup","重要な友人","","重要な友人についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 63 | 人間関係","SUBLEVEL 2","ice_breaker","友人関係の築き方","","友人関係の築き方についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 63 | 人間関係","SUBLEVEL 3","discussion","関係の種類","","関係の種類についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 63 | 人間関係","SUBLEVEL 4","follow_up","衝突・誤解","","衝突・誤解についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 63 | 人間関係","SUBLEVEL 5","practice","良い関係の条件","","良い関係の条件についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 63 | 人間関係","SUBLEVEL 6","wrapup","ストーリー","","ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 64 | コミュニケーション能力","SUBLEVEL 1","warmup","自分のスタイル","","自分のスタイルについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 64 | コミュニケーション能力","SUBLEVEL 2","ice_breaker","フォーマル vs インフォーマル","","フォーマル vs インフォーマルについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 64 | コミュニケーション能力","SUBLEVEL 3","discussion","誤解経験","","誤解経験についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 64 | コミュニケーション能力","SUBLEVEL 4","follow_up","コミュニケーション問題","","コミュニケーション問題についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 64 | コミュニケーション能力","SUBLEVEL 5","practice","改善方法","","改善方法についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 64 | コミュニケーション能力","SUBLEVEL 6","wrapup","振り返り","","振り返りについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 65 | ストレスと健康","SUBLEVEL 1","warmup","ストレス要因","","ストレス要因についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 65 | ストレスと健康","SUBLEVEL 2","ice_breaker","心身への影響","","心身への影響についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 65 | ストレスと健康","SUBLEVEL 3","discussion","対処方法","","対処方法についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 65 | ストレスと健康","SUBLEVEL 4","follow_up","ストレス状況","","ストレス状況についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 65 | ストレスと健康","SUBLEVEL 5","practice","セルフケア","","セルフケアについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 65 | ストレスと健康","SUBLEVEL 6","wrapup","回復ストーリー","","回復ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 66 | チームワーク","SUBLEVEL 1","warmup","グループ活動","","グループ活動についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 66 | チームワーク","SUBLEVEL 2","ice_breaker","役割","","役割についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 66 | チームワーク","SUBLEVEL 3","discussion","衝突","","衝突についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 66 | チームワーク","SUBLEVEL 4","follow_up","問題解決","","問題解決についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 66 | チームワーク","SUBLEVEL 5","practice","学び","","学びについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 66 | チームワーク","SUBLEVEL 6","wrapup","ストーリー","","ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 67 | 意思決定","SUBLEVEL 1","warmup","重要な決断","","重要な決断についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 67 | 意思決定","SUBLEVEL 2","ice_breaker","影響要因","","影響要因についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 67 | 意思決定","SUBLEVEL 3","discussion","良い決断 vs 悪い決断","","良い決断 vs 悪い決断についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 67 | 意思決定","SUBLEVEL 4","follow_up","予想外の結果","","予想外の結果についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 67 | 意思決定","SUBLEVEL 5","practice","学び","","学びについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 67 | 意思決定","SUBLEVEL 6","wrapup","ストーリー","","ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 68 | デジタル生活","SUBLEVEL 1","warmup","日常習慣","","日常習慣についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 68 | デジタル生活","SUBLEVEL 2","ice_breaker","利点","","利点についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 68 | デジタル生活","SUBLEVEL 3","discussion","問題","","問題についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 68 | デジタル生活","SUBLEVEL 4","follow_up","オンライン vs オフライン","","オンライン vs オフラインについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 68 | デジタル生活","SUBLEVEL 5","practice","バランス","","バランスについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 68 | デジタル生活","SUBLEVEL 6","wrapup","振り返り","","振り返りについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 69 | お金と責任","SUBLEVEL 1","warmup","消費習慣","","消費習慣についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 69 | お金と責任","SUBLEVEL 2","ice_breaker","必要 vs 欲求","","必要 vs 欲求についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 69 | お金と責任","SUBLEVEL 3","discussion","予算管理","","予算管理についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 69 | お金と責任","SUBLEVEL 4","follow_up","失敗","","失敗についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 69 | お金と責任","SUBLEVEL 5","practice","学び","","学びについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 69 | お金と責任","SUBLEVEL 6","wrapup","ストーリー","","ストーリーについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 70 | 中間レビュー","SUBLEVEL 1","warmup","現在の生活","","現在の生活についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 70 | 中間レビュー","SUBLEVEL 2","ice_breaker","コミュニケーションの進歩","","コミュニケーションの進歩についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 70 | 中間レビュー","SUBLEVEL 3","discussion","強み","","強みについての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 70 | 中間レビュー","SUBLEVEL 4","follow_up","課題","","課題についての発話練習とディスカッション。",""
"Japanese","JA_STAGE_3_LEVEL_61-100.docx","LEVEL 70 | 中間レビュー","SUBLEVEL 5","practice","目標","","目標についての発話練習とディスカッション。",""
