Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","","","","","","JA_STAGE_2_LEVEL_31-60",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 1","warmup","平日のルーティン","","平日のルーティンについて話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 1","warmup","平日のルーティン","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 2","discussion","週末との比較","","週末との比較について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 2","discussion","週末との比較","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 3","follow_up","忙しい日 vs 暇な日","","忙しい日 vs 暇な日について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 3","follow_up","忙しい日 vs 暇な日","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 4","practice","勉強／仕事と休息のバランス","","勉強／仕事と休息のバランスについて話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 4","practice","勉強／仕事と休息のバランス","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 5","discussion","最近の変化","","最近の変化について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 5","discussion","最近の変化","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 6","wrapup","1週間のストーリー","","1週間のストーリーについて話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 31 | 私の1週間","SUBLEVEL 6","wrapup","1週間のストーリー","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 1","warmup","朝の時間","","朝の時間について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 1","warmup","朝の時間","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 2","discussion","忙しい時間帯","","忙しい時間帯について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 2","discussion","忙しい時間帯","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 3","follow_up","遅刻・早到着の経験","","遅刻・早到着の経験について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 3","follow_up","遅刻・早到着の経験","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 4","practice","1日の計画","","1日の計画について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 4","practice","1日の計画","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 5","discussion","時間に関する問題","","時間に関する問題について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 5","discussion","時間に関する問題","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 6","wrapup","改善したい習慣","","改善したい習慣について話します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 32 | 時間管理","SUBLEVEL 6","wrapup","改善したい習慣","","自分の経験や考えを説明します。",""
"Japanese","JA_STAGE_2_LEVEL_31-60_STANDARDIZED.docx","LEVEL 33 | 食事・習慣・ライフスタイル","SUBLEVEL 1","warmup","日常の食事","","日常の食事について話します。",""
