Language,File,Level,SubLevel,PromptType,Question,Question_Sub,Answer,Answer_Sub
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 1","warmup","名前","","フルネーム",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 1","warmup","名前","","ニックネーム",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 2","ice_breaker","出身","","国",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 2","ice_breaker","出身","","都市",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 2","ice_breaker","出身","","簡単な情報",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 3","discussion","現在の自分","","学生",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 3","discussion","現在の自分","","社会人",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 4","follow_up","自分について","","好き",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 4","follow_up","自分について","","嫌い",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 5","practice","質問と応答","","質疑応答の練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 6","wrapup","まとめ","","ミニストーリー",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 1 | 自己紹介","SUBLEVEL 6","wrapup","まとめ","","まとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 2 | 国と言語","SUBLEVEL 1","warmup","自分の国","","私の国について",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 2 | 国と言語","SUBLEVEL 2","ice_breaker","使用言語","","話す言葉",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 2 | 国と言語","SUBLEVEL 3","discussion","周囲の言語","","周りの人が話す言葉",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 2 | 国と言語","SUBLEVEL 4","follow_up","英語との関わり","","英語の利用",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 2 | 国と言語","SUBLEVEL 5","practice","簡単な比較","","言語と言語の比較",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 2 | 国と言語","SUBLEVEL 6","wrapup","まとめ","","本日のまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 3 | 挨拶とマナー","SUBLEVEL 1","warmup","挨拶","","日常の挨拶",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 3 | 挨拶とマナー","SUBLEVEL 2","ice_breaker","別れの表現","","さようならの表現",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 3 | 挨拶とマナー","SUBLEVEL 3","discussion","感謝と謝罪","","ありがとうとごめんなさい",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 3 | 挨拶とマナー","SUBLEVEL 4","follow_up","短い会話","","日常のショートトーク",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 3 | 挨拶とマナー","SUBLEVEL 5","practice","ロールプレイ","","場面ごとの役割演技",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 3 | 挨拶とマナー","SUBLEVEL 6","wrapup","wrapup | 反復練習","","繰り返しの練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 4 | 年齢と家族","SUBLEVEL 1","warmup","年齢","","私の年齢",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 4 | 年齢と家族","SUBLEVEL 2","ice_breaker","家族構成","","私の家族",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 4 | 年齢と家族","SUBLEVEL 3","discussion","同居者","","一緒に住んでいる人",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 4 | 年齢と家族","SUBLEVEL 4","follow_up","簡単な説明","","家族の特徴",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 4 | 年齢と家族","SUBLEVEL 5","practice","家族について質問","","質問の練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 4 | 年齢と家族","SUBLEVEL 6","wrapup","ミニトーク","","家族についての短いお話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 5 | 私の家","SUBLEVEL 1","warmup","住んでいる場所","","私の地域",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 5 | 私の家","SUBLEVEL 2","ice_breaker","家とアパート","","住居の種類",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 5 | 私の家","SUBLEVEL 3","discussion","部屋","","私の部屋",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 5 | 私の家","SUBLEVEL 4","follow_up","お気に入りの場所","","家の中で好きなところ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 5 | 私の家","SUBLEVEL 5","practice","比較","","昔の家と今の家の比較",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 5 | 私の家","SUBLEVEL 6","wrapup","家のストーリー","","私の家のお話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 6 | 日課","SUBLEVEL 1","warmup","朝","","朝のルーティン",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 6 | 日課","SUBLEVEL 2","ice_breaker","勉強と仕事","","日中の活動",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 6 | 日課","SUBLEVEL 3","discussion","夜","","夜の過ごし方",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 6 | 日課","SUBLEVEL 4","follow_up","時間表現","","時間の言い方",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 6 | 日課","SUBLEVEL 5","practice","平日 vs 週末","","平日の過ごし方と週末の過ごし方",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 6 | 日課","SUBLEVEL 6","wrapup","1日のストーリー","","私の1日のお話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 7 | 食べ物と飲み物","SUBLEVEL 1","warmup","朝食・昼食・夕食","","毎日の食事",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 7 | 食べ物と飲み物","SUBLEVEL 2","ice_breaker","好きな食べ物","","大好物の話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 7 | 食べ物と飲み物","SUBLEVEL 3","discussion","好きと嫌い","","食べ物の好み",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 7 | 食べ物と飲み物","SUBLEVEL 4","follow_up","好きな飲み物","","よく飲むもの",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 7 | 食べ物と飲み物","SUBLEVEL 5","practice","食事の質問","","レストランでの会話練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 7 | 食べ物と飲み物","SUBLEVEL 6","wrapup","1日のまとめ","","食事についてのまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 8 | 趣味と自由時間","SUBLEVEL 1","warmup","自由時間の活動","","暇な時の過ごし方",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 8 | 趣味と自由時間","SUBLEVEL 2","ice_breaker","室内と屋外","","インドアアクティビティとアウトドアアクティビティ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 8 | 趣味と自由時間","SUBLEVEL 3","discussion","週末の趣味","","土日の楽しみ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 8 | 趣味と自由時間","SUBLEVEL 4","follow_up","友達と","","友達と一緒にすること",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 8 | 趣味と自由時間","SUBLEVEL 5","practice","趣味の紹介","","自分の趣味を説明する練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 8 | 趣味と自由時間","SUBLEVEL 6","wrapup","ストーリー","","趣味に関するお話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 9 | 周辺の場所","SUBLEVEL 1","warmup","店・カフェ・スーパー","","よく行くお店",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 9 | 周辺の場所","SUBLEVEL 2","ice_breaker","近いと遠い","","距離の表現",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 9 | 周辺の場所","SUBLEVEL 3","discussion","簡単な道案内","","道に迷ったときの表現",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 9 | 周辺の場所","SUBLEVEL 4","follow_up","自分のエリア","","近所のおすすめスポット",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 9 | 周辺の場所","SUBLEVEL 5","practice","場所の質問","","位置を尋ねる練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 9 | 周辺の場所","SUBLEVEL 6","wrapup","まとめ","","周辺環境のまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 10 | 昨日","SUBLEVEL 1","warmup","昨日の朝・昼・夜","","昨日の時間帯ごとの行動",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 10 | 昨日","SUBLEVEL 2","ice_breaker","行ったこと","","昨日したこと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 10 | 昨日","SUBLEVEL 3","discussion","過去の出来事","","楽しかったこと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 10 | 昨日","SUBLEVEL 4","follow_up","質問","","過去の行動を尋ねる",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 10 | 昨日","SUBLEVEL 5","practice","過去形の練習","","動詞の過去形を使った発話",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 10 | 昨日","SUBLEVEL 6","wrapup","ストーリー","","昨日の出来事のストーリー",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 11 | 買い物","SUBLEVEL 1","warmup","買い物","","よく買うもの",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 11 | 買い物","SUBLEVEL 2","ice_breaker","好きなお店","","お気に入りのショップ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 11 | 買い物","SUBLEVEL 3","discussion","値段","","いくらですか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 11 | 買い物","SUBLEVEL 4","follow_up","服のサイズ","","サイズと色",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 11 | 買い物","SUBLEVEL 5","practice","店員との会話","","買い物のロールプレイ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 11 | 買い物","SUBLEVEL 6","wrapup","まとめ","","買い物のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 12 | 外食","SUBLEVEL 1","warmup","レストラン","","よく行くレストラン",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 12 | 外食","SUBLEVEL 2","ice_breaker","メニュー","","食べたいものを選ぶ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 12 | 外食","SUBLEVEL 3","discussion","注文","","これをお願いします",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 12 | 外食","SUBLEVEL 4","follow_up","味の表現","","美味しいと辛い",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 12 | 外食","SUBLEVEL 5","practice","注文の練習","","店員に注文するロールプレイ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 12 | 外食","SUBLEVEL 6","wrapup","まとめ","","外食의トークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 13 | 交通","SUBLEVEL 1","warmup","乗り物","","よく使う交通手段",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 13 | 交通","SUBLEVEL 2","ice_breaker","駅とバス停","","移動の拠点",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 13 | 交通","SUBLEVEL 3","discussion","行き方","","目的地への移動方法",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 13 | 交通","SUBLEVEL 4","follow_up","時間と費用","","どれくらいかかりますか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 13 | 交通","SUBLEVEL 5","practice","道を尋ねる","","駅への行き方を尋ねる練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 13 | 交通","SUBLEVEL 6","wrapup","まとめ","","交通機関のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 14 | 天気と服装","SUBLEVEL 1","warmup","今日の天気","","天気の表現",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 14 | 天気と服装","SUBLEVEL 2","ice_breaker","好きな季節","","春夏秋冬",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 14 | 天気と服装","SUBLEVEL 3","discussion","服装","","今日の服",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 14 | 天気と服装","SUBLEVEL 4","follow_up","天気と活動","","雨の日の過ごし方",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 14 | 天気と服装","SUBLEVEL 5","practice","天気の会話","","明日の天気について話す練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 14 | 天気と服装","SUBLEVEL 6","wrapup","まとめ","","天気と服装のまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 15 | 週末","SUBLEVEL 1","warmup","今週末の予定","","土日のプラン",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 15 | 週末","SUBLEVEL 2","ice_breaker","週末の天気","","週末の天候",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 15 | 週末","SUBLEVEL 3","discussion","誰と過ごすか","","家族や友達",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 15 | 週末","SUBLEVEL 4","follow_up","行きたい場所","","週末のお出かけスポット",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 15 | 週末","SUBLEVEL 5","practice","予定を立てる","","友達を誘う練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 15 | 週末","SUBLEVEL 6","wrapup","まとめ","","週末のプランまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 16 | 仕事と勉強","SUBLEVEL 1","warmup","現在の活動","","仕事か勉強か",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 16 | 仕事と勉強","SUBLEVEL 2","ice_breaker","職場と学校","","活動している場所",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 16 | 仕事と勉強","SUBLEVEL 3","discussion","内容","","何について勉強しているか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 16 | 仕事と勉強","SUBLEVEL 4","follow_up","同僚とクラスメイト","","周りの人々",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 16 | 仕事と勉強","SUBLEVEL 5","practice","業務と時間割","","1日のスケジュールを話す練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 16 | 仕事と勉強","SUBLEVEL 6","wrapup","まとめ","","仕事と勉強のまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 17 | スキル","SUBLEVEL 1","warmup","できること","","得意なこと",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 17 | スキル","SUBLEVEL 2","ice_breaker","パソコンのスキル","","ITツールの利用",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 17 | スキル","SUBLEVEL 3","discussion","言語スキル","","話せる言葉",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 17 | スキル","SUBLEVEL 4","follow_up","これから学びたいこと","","未来のスキル",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 17 | スキル","SUBLEVEL 5","practice","自己PR","","自分のスキルを説明する練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 17 | スキル","SUBLEVEL 6","wrapup","まとめ","","スキルのトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 18 | 健康","SUBLEVEL 1","warmup","今日の体調","","体調の表現",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 18 | 健康","SUBLEVEL 2","ice_breaker","運動","","健康のためにすること",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 18 | 健康","SUBLEVEL 3","discussion","睡眠","","毎日の睡眠時間",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 18 | 健康","SUBLEVEL 4","follow_up","病院","","風邪をひいたとき",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 18 | 健康","SUBLEVEL 5","practice","アドバイス","","健康的な生活について話す練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 18 | 健康","SUBLEVEL 6","wrapup","まとめ","","健康のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 19 | 友達","SUBLEVEL 1","warmup","親友","","一番の友達",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 19 | 友達","SUBLEVEL 2","ice_breaker","出会った場所","","友達との出会い",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 19 | 友達","SUBLEVEL 3","discussion","一緒にすること","","遊ぶ内容",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 19 | 友達","SUBLEVEL 4","follow_up","友達の性格","","どんな人ですか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 19 | 友達","SUBLEVEL 5","practice","友達の紹介","","大切な友達を説明する練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 19 | 友達","SUBLEVEL 6","wrapup","まとめ","","友達のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 20 | お気に入り","SUBLEVEL 1","warmup","好きなもの","","私のお気に入り",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 20 | お気に入り","SUBLEVEL 2","ice_breaker","映画と音楽","","エンタメの好み",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 20 | お気に入り","SUBLEVEL 3","discussion","本とゲーム","","趣味の詳細",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 20 | お気に入り","SUBLEVEL 4","follow_up","理由","","なぜ好きですか",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 20 | お気に入り","SUBLEVEL 5","practice","おすすめ","","お気に入りのものを人に勧める練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 20 | お気に入り","SUBLEVEL 6","wrapup","まとめ","","お気に入りのまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 21 | 旅行","SUBLEVEL 1","warmup","行ったことがある場所","","過去の旅行",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 21 | 旅行","SUBLEVEL 2","ice_breaker","旅行の持ち物","","バッグの中身",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 21 | 旅行","SUBLEVEL 3","discussion","好きな旅行スタイル","","山か海か",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 21 | 旅行","SUBLEVEL 4","follow_up","次に行きたい場所","","未来の旅",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 21 | 旅行","SUBLEVEL 5","practice","旅行計画","","次の休みの計画を話す練習",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 21 | 旅行","SUBLEVEL 6","wrapup","まとめ","","旅行のトークまとめ",""
"Japanese","JA_STAGE_1_LEVEL_1-30.docx","LEVEL 22 | 祝日","SUBLEVEL 1","warmup","自分の国の祝日","","お休みの日",""
